Num	Question	Type	Points	Flag	Challenge	Solution
1	MBCoin	Forensic	325	HTB{wH4tS_4_sQuirReLw4fFl3?}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
2	ChromeMiner	Reversing	325	buckeye{if_0n1y_th15_w0rk3d}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
3	Perseverance	Forensic	325	HTB{1_th0ught_WM1_w4s_just_4_M4N4g3m3nt_T00l}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
4	Breakout	Reversing	300	HTB{th3_pr0c_f5_15_4_p53ud0_f1l35y5t3m_wh1ch_pr0v1d35_4n_1nt3rf4c3.....}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
5	Lina's Invitation	Forensic	300	HTB{Zer0_DayZ_4Re_C0Ol_BuT_F0llina_h4s_b33n_pAtch3d!}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
6	Rogue	Forensic	350	HTB{n0th1ng_c4n_st4y_un3ncrypt3d_f0r3v3r}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
7	MonkeyLab User	FullPwn	225	HTB{Follina_is_not_just_an_Italian_town}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
8	BBGun06	Crypto	325	HTB{8131ch3n84ch32'06_519n47u23_f02932y}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
9	Debugger Unchained	Web	325	HTB{c&c_h4ckb4ck_inj3ct3d_t0_rc3}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
10	Letter Dispair	Web	325	HTB{4_l3tt3r_0f_h0p3_outp4c1ng_d1sp4ir}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
11	Certification	FullPwn	225	HTB{Abu51ng_F34tur3s_4r3_fun}	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
12	Nimble	FullPwn	225	"
HTB{injectionware_as_a_service}"	Placeholder  \nLine 1  \nLine2  \nLine3  \n	Placeholder  \nLine 1  \nLine2  \nLine3  \n
